30/   50 | d_loss: 0.3822 | g_loss: 0.3957
30/   50 | d_loss: 0.3799 | g_loss: 0.3698
30/   50 | d_loss: 0.3870 | g_loss: 0.3596
31/   50 | d_loss: 0.3791 | g_loss: 0.3854
31/   50 | d_loss: 0.3766 | g_loss: 0.4045
31/   50 | d_loss: 0.3770 | g_loss: 0.3701
31/   50 | d_loss: 0.3776 | g_loss: 0.3812
31/   50 | d_loss: 0.3800 | g_loss: 0.3598
31/   50 | d_loss: 0.3770 | g_loss: 0.3658
32/   50 | d_loss: 0.3746 | g_loss: 0.3879
32/   50 | d_loss: 0.3776 | g_loss: 0.3912
32/   50 | d_loss: 0.3745 | g_loss: 0.3857
32/   50 | d_loss: 0.3792 | g_loss: 0.3906
32/   50 | d_loss: 0.3783 | g_loss: 0.3763
32/   50 | d_loss: 0.3795 | g_loss: 0.3863
33/   50 | d_loss: 0.3788 | g_loss: 0.3685
33/   50 | d_loss: 0.3781 | g_loss: 0.3709
33/   50 | d_loss: 0.3767 | g_loss: 0.3877
33/   50 | d_loss: 0.3754 | g_loss: 0.3805
33/   50 | d_loss: 0.3780 | g_loss: 0.3981
33/   50 | d_loss: 0.3777 | g_loss: 0.3787
34/   50 | d_loss: 0.3747 | g_loss: 0.4000
34/   50 | d_loss: 0.3753 | g_loss: 0.3892
34/   50 | d_loss: 0.3796 | g_loss: 0.3703
34/   50 | d_loss: 0.3755 | g_loss: 0.3769
34/   50 | d_loss: 0.3727 | g_loss: 0.3948
34/   50 | d_loss: 0.3743 | g_loss: 0.4000
35/   50 | d_loss: 0.3740 | g_loss: 0.3873
35/   50 | d_loss: 0.3772 | g_loss: 0.3682
35/   50 | d_loss: 0.3771 | g_loss: 0.3842
35/   50 | d_loss: 0.3710 | g_loss: 0.3767
35/   50 | d_loss: 0.3768 | g_loss: 0.3869
35/   50 | d_loss: 0.3768 | g_loss: 0.3814
36/   50 | d_loss: 0.3727 | g_loss: 0.3698
36/   50 | d_loss: 0.3735 | g_loss: 0.3829
36/   50 | d_loss: 0.3711 | g_loss: 0.3945
36/   50 | d_loss: 0.3791 | g_loss: 0.4158
36/   50 | d_loss: 0.3742 | g_loss: 0.3974
36/   50 | d_loss: 0.3724 | g_loss: 0.3889
